Title,City,Room_Type,Rent,Availability,Date_Placed
Rietveld,Delft, - Kamer ," € 450,-  incl. G/W/E ", 01-09-'22 - 31-08-'23 , Nieuw! 
Remuslaan,Eindhoven, - Kamer ," € 565,-  incl. G/W/E ", 31-12-'22 - Onbepaalde tijd , 1u 
Haardstee,Amsterdam, - Kamer ," € 500,-  ", 01-07-'22 - Onbepaalde tijd , 1u 
Kamerlingh Onnesweg,Hilversum, - Kamer ," € 485,-  incl. G/W/E ", 31-07-'22 - Onbepaalde tijd , 1u 
Willem Ruyslaan,Rotterdam, - Appartement ," € 995,-  ", 07-07-'22 - 31-08-'22 , 2u 
Mina Krusemanstraat,Enschede, - Kamer ," € 335,-  incl. G/W/E ", 01-08-'22 - Onbepaalde tijd , 3u 
Fokke Simonszstraat,Amsterdam, - Appartement ," € 1690,-  incl. G/W/E ", 28-06-'22 - Onbepaalde tijd , 3u 
Amerongenstraat,Den Haag, - Appartement ," € 1750,-  ", 01-08-'22 - Onbepaalde tijd , 8u 
Bisonstraat,Purmerend, - Kamer ," € 550,-  incl. G/W/E ", 01-07-'22 - Onbepaalde tijd , 15u 
Lessinglaan,Utrecht, - Kamer ," € 950,-  ", 08-08-'22 - Onbepaalde tijd , 1d 
Achter de Kerken,Abcoude, - Kamer ," € 475,-  incl. G/W/E ", 01-08-'22 - Onbepaalde tijd , 1d 
Van Rappardstraat,Amsterdam, - Appartement ," € 1650,-  ", 01-07-'22 - 30-06-'24 , 1d 
Slochtermeenteweg,Luddeweer, - Studio ," € 850,-  incl. G/W/E ", 26-06-'22 - 01-05-'23 , 3d 
Murenepad,Almere, - Kamer ," € 450,-  incl. G/W/E ", 01-07-'22 - Onbepaalde tijd , 6d 
Gerard Doustraat,Almelo, - Appartement ," € 400,-  ", 13-06-'22 - Onbepaalde tijd , 2w 
Presidentstraat,Almere, - Kamer ," € 600,-  incl. G/W/E ", 01-04-'22 - Onbepaalde tijd , 20 sep '21 
Eerste Lindendwarsstraat,Amsterdam, - Appartement ," € 2500,-  ", 01-09-'22 - Onbepaalde tijd , 3u 
Rijnstraat,Eindhoven, - Kamer ," € 400,-  incl. G/W/E ", 01-08-'22 - Onbepaalde tijd , 3u 
Dubbelink,Amsterdam, - Studio ," € 1200,-  ", 03-07-'22 - Onbepaalde tijd , 3w 
Mandelastraat,Delft, - Kamer ," € 300,-  ", 20-07-'22 - Onbepaalde tijd , 3u 
Van Bossestraat,Delft, - Kamer ," € 420,-  incl. G/W/E ", 01-08-'22 - Onbepaalde tijd , 3u 
Meermanstraat,Delft, - Kamer ," € 590,-  incl. G/W/E ", 01-09-'22 - Onbepaalde tijd , 3u 
Harpstraat,Nijmegen, - Kamer ," € 450,-  incl. G/W/E ", 04-07-'22 - Onbepaalde tijd , 3u 
Ruiterakker,Assen, - Kamer ," € 270,-  incl. G/W/E ", 28-06-'22 - Onbepaalde tijd , 3u 
Hanzestraat,Arnhem, - Kamer ," € 335,-  incl. G/W/E ", 10-07-'22 - Onbepaalde tijd , 3u 
Korreweg,Groningen, - Appartement ," € 950,-  ", 01-08-'22 - Onbepaalde tijd , 3u 
Dennenlaan,Wageningen, - Kamer ," € 450,-  incl. G/W/E ", 01-08-'22 - Onbepaalde tijd , 4u 
Bassin,Maastricht, - Kamer ," € 499,-  incl. G/W/E ", 01-07-'22 - Onbepaalde tijd , 4u 
